passage_id,title,genre,word_count,passage_text,syntactic_score,semantic_score,discourse_score,overall_quality,fluency_score,complexity_score,readability_score,annotator_id
LR-00001,My Morning Routine,narrative,34,"I wake up at seven o'clock. First, I brush my teeth. Then I eat breakfast with my family. I like eggs and toast. After breakfast, I walk to school. School starts at eight thirty.",3.4,3.3,3.6,3.5,3.6,1.5,A1,A01
LR-00002,The Weather Today,descriptive,31,Today the sky is blue. The sun is bright. It is warm outside. My friends and I want to play in the park. We will bring a ball and some water.,3.3,3.3,3.6,3.4,3.5,1.5,A1,A04
LR-00003,A Trip to the Market,narrative,43,"Last Saturday, Mia went to the market with her mother. They bought apples, bread, and cheese. The market was busy, but Mia liked looking at the colorful fruit stands. On the way home, they stopped for ice cream because the day was hot.",4.3,3.8,4.3,4.1,4.2,1.8,A2,A03
LR-00004,Learning a New Hobby,personal essay,41,"Two months ago, I started learning to play the guitar. At first, it was difficult to hold the chords correctly. Now I can play three simple songs. I practice for twenty minutes every evening, and I feel proud of my progress.",3.9,3.5,3.6,3.6,3.6,1.8,A2,A03
LR-00005,City Buses and Traffic,informational,51,"Public transportation is an important part of city life. Many people take the bus to work because it is cheaper than driving a car. However, buses can be slow during rush hour, especially when there is heavy traffic. Some cities have started using special bus lanes to help buses move faster.",4.6,4.5,4.8,4.6,4.5,2.8,B1,A03
LR-00006,The Benefits of Reading,expository,51,"Reading regularly offers several benefits beyond simple entertainment. It can improve vocabulary, strengthen concentration, and expose readers to new ideas and perspectives. Studies suggest that people who read often tend to have better writing skills as well, since they naturally absorb sentence patterns and word choices from the texts they enjoy.",4.5,4.3,4.4,4.3,4.1,3,B1,A02
LR-00007,A Letter to a Friend,letter,59,"Dear Sam, I hope you are doing well. I wanted to tell you about my new job at the library. It is quiet, and I get to be around books all day, which I really enjoy. The only downside is that the commute takes almost an hour. Let me know when you are free to catch up over coffee.",4.9,4.9,4.6,4.8,4.7,2.9,B1,A03
LR-00008,Renewable Energy Growth,informational,61,"Over the past decade, renewable energy sources such as solar and wind power have become increasingly cost-competitive with fossil fuels. This shift has been driven by technological advances that lowered manufacturing costs, as well as government incentives designed to encourage cleaner energy adoption. Despite this progress, challenges remain, including the need for better energy storage solutions and updated power grid infrastructure.",4.2,4.2,4.2,4.1,3.9,3,B2,A02
LR-00009,The Psychology of Habit Formation,expository,69,"Habits form through a repeated cycle of cue, routine, and reward, gradually becoming automatic behaviors that require little conscious thought. Researchers have found that this automaticity explains why breaking a habit can be so difficult: the brain has essentially built a shortcut that bypasses deliberate decision-making. Understanding this cycle allows people to intentionally reshape their routines by altering the cue or the reward rather than relying on willpower alone.",4,3.9,4.3,4.1,4.1,3.3,B2,A02
LR-00010,Remote Work Culture,opinion,68,"The shift toward remote work has fundamentally altered how many professionals think about their careers. Proponents argue that flexible schedules improve work-life balance and reduce time wasted commuting. Critics, however, point out that remote arrangements can blur the boundary between personal and professional life, and that spontaneous collaboration is harder to replicate over video calls. Most organizations now seem to be settling on hybrid models as a compromise.",4.8,4.4,4.3,4.5,4.5,3.4,B2,A03
LR-00011,Coral Reefs Under Pressure,scientific,76,"Coral reefs, often described as the rainforests of the sea, support roughly a quarter of all marine species despite covering less than one percent of the ocean floor. Rising sea temperatures, however, have triggered widespread bleaching events, in which corals expel the symbiotic algae that supply them with both color and nutrients. Without intervention, scientists warn that many reef ecosystems could collapse within decades, with cascading effects on fisheries and coastal communities that depend on them.",4.8,4.9,4.6,4.8,4.8,3.6,C1,A04
LR-00012,The Rhetoric of Political Speeches,analytical,75,"Effective political speeches rely on a carefully calibrated blend of ethos, pathos, and logos to persuade an audience. A speaker's credibility, or ethos, is often established through references to shared experience or expertise, while pathos appeals to the emotional undercurrents of the moment. Logos, the appeal to reason, is frequently deployed through statistics or historical precedent. The most memorable speeches tend to interweave these elements seamlessly, rather than relying on any single mode of persuasion.",4.1,4,4.1,4,4,3.6,C1,A04
LR-00013,Cognitive Load in Multitasking,scientific,71,"Contrary to popular belief, the human brain does not truly multitask; rather, it rapidly switches attention between tasks, incurring a measurable cognitive cost each time. This phenomenon, known as task-switching overhead, can reduce overall productivity and increase the likelihood of errors, particularly when the tasks involved require similar cognitive resources. Researchers have found that even brief interruptions can disrupt working memory enough to noticeably slow the resumption of the original task.",4.7,4.9,5,4.9,5,3.8,C1,A02
LR-00014,On the Ethics of Artificial Intelligence,philosophical essay,76,"As artificial intelligence systems become increasingly capable of autonomous decision-making, the philosophical question of moral responsibility grows correspondingly more urgent. Traditional frameworks of accountability presuppose an agent capable of intention, yet contemporary AI systems exhibit behavior that emerges from statistical patterns rather than deliberate reasoning. This tension complicates efforts to assign liability when such systems cause harm, and it invites a reconsideration of whether existing ethical vocabularies are adequate to describe distributed, non-human forms of agency.",4.8,4.5,4.7,4.8,5,4.7,C2,A03
LR-00015,The Fragility of Historical Memory,literary nonfiction,78,"Historical memory, far from being a static repository of facts, is continually reconstructed in accordance with the needs and anxieties of the present. Nations selectively commemorate certain events while allowing others to recede into obscurity, a process that reveals as much about contemporary political imperatives as it does about the past itself. This malleability renders collective memory a site of ongoing contestation, wherein competing narratives vie for legitimacy and, ultimately, for the power to shape a society's self-understanding.",4.5,4.9,4.9,4.8,4.8,5,C2,A03
LR-00016,My Favorite Animal,descriptive,35,"My favorite animal is the dog. Dogs are friendly and loyal. My dog is called Max. He is brown and small. Every day, I take him for a walk in the park near my house.",3.7,3.6,3.5,3.7,3.9,1.6,A1,A03
LR-00017,Cooking Dinner Together,narrative,45,"On Friday evenings, my family cooks dinner together. My sister chops the vegetables while I cook the rice. My father usually makes the sauce because it is his favorite part. When the food is ready, we sit at the table and talk about our week.",4.3,4.1,4.4,4.3,4.4,2.4,A2,A02
LR-00018,Starting a Small Garden,how-to,59,"Starting a small garden does not require a lot of space or experience. Begin by choosing a sunny spot and preparing the soil with compost. Then, pick a few easy plants, such as tomatoes or herbs, and water them regularly. Within a few weeks, you should start to see new growth, which can be very rewarding for a beginner.",4.4,4.6,4.4,4.4,4.2,2.4,B1,A03
LR-00019,The Rise of Streaming Services,informational,64,"Streaming services have transformed the way audiences consume television and film, replacing scheduled broadcasts with on-demand access to vast content libraries. This shift has intensified competition among providers, prompting many to invest heavily in original programming to differentiate themselves. At the same time, the growing number of subscription services has led some viewers to complain about rising overall costs compared to traditional cable packages.",3.7,4.1,4,3.9,3.7,3.3,B2,A02
LR-00020,Urban Green Spaces and Wellbeing,expository,69,"Access to urban green spaces, such as parks and community gardens, has been consistently linked to improved mental and physical wellbeing among city residents. Even brief exposure to natural environments can lower stress hormone levels and improve mood, according to several studies in environmental psychology. As cities continue to grow denser, urban planners face increasing pressure to preserve and expand these spaces despite competing demands for housing and infrastructure.",4.5,4.7,4.4,4.6,4.8,3.6,B2,A02
LR-00021,The Limits of Economic Forecasting,analytical,66,"Economic forecasts, despite their apparent precision, are inherently constrained by the complexity and interconnectedness of the systems they attempt to model. Small changes in consumer confidence, geopolitical events, or monetary policy can produce outcomes that diverge sharply from projected trends, exposing the limitations of even the most sophisticated econometric models. Economists have increasingly acknowledged that forecasts are best understood as probabilistic scenarios rather than definitive predictions.",4.3,4.2,4.5,4.3,4.3,3.6,C1,A02
LR-00022,Genetic Sequencing and Personalized Medicine,scientific,69,"Advances in genetic sequencing technology have dramatically reduced both the cost and the time required to analyze an individual's genome, paving the way for more personalized approaches to medicine. Rather than relying solely on generalized treatment protocols, clinicians can now tailor therapies based on a patient's specific genetic markers, potentially improving efficacy and reducing adverse reactions. Nonetheless, questions surrounding data privacy and equitable access to these technologies remain unresolved.",4.7,4.7,4.5,4.7,4.7,4.2,C1,A03
LR-00023,The Aesthetics of Minimalism,critical essay,79,"Minimalism, as an aesthetic philosophy, resists reduction to mere visual sparseness; it instead articulates a deliberate ethic of restraint, wherein the omission of ornament is itself a form of expressive assertion. Its practitioners often argue that stripping away the extraneous allows the essential qualities of a work, whether spatial, material, or conceptual, to assert themselves with unmediated clarity. Critics, conversely, contend that this pursuit of austerity can inadvertently efface the very texture and idiosyncrasy that render a work distinctive.",4.3,4.3,4.4,4.4,4.5,4.5,C2,A02
LR-00024,Language Death and Cultural Loss,academic,74,"Linguists estimate that a substantial proportion of the world's languages face extinction within the coming century, a phenomenon that entails far more than the disappearance of vocabulary and grammar. Each endangered language encodes a distinct cognitive framework and an accumulated repository of ecological, historical, and social knowledge that resists straightforward translation. Consequently, efforts at language documentation and revitalization are increasingly framed not merely as linguistic preservation but as a broader defense of epistemic diversity.",4,3.6,3.6,3.7,3.7,4.6,C2,A03
LR-00025,A Rainy Afternoon,narrative,50,"It started raining just after lunch, so Tom decided to stay inside and read a book. He made a cup of tea and sat by the window, watching the raindrops slide down the glass. By the time the rain stopped, he had finished two whole chapters and felt very relaxed.",3.9,3.6,3.6,3.8,4,1.7,A2,A04
